eye,Eyeris encoded audio video file
vid,TrialDirector VideoNote file
cmmp,Camtasia MenuMaker project file
tsp,DISH Network DVR recorded video
ccr,Atari Jaguar Cinepak film
am5,AutoPlay Menu Studio ver.5 data file
tda3mt,DivX author template file
acw,Captioning system file
mp21,MPEG-21 multimedia file
m15,Apple QuickTime file
izzy,Isadora project file
vp5,CrystalPlayer video file
uvcab,UVScreenCamera films
tms,Arcsoft Showbiz captured video
div,DivX movie
bmc,Bolide Movie Creator project file
smpg,Sealed MPG movie
mv85,Adobe Director for Mac movie file
ps,MPEG program stream format
hs,HyperStudio stacks file
p64,H.261 encoded video file
mv95,Adobe Director for Mac movie file
avs,Intel Application Visualization System file
ncorx,Adobe Encore project
camthtr,Camtasia Studio theater file
m1pg,iFinish video file
uvnts,UVScreenCamera notes file
$ts,DTC 2030 recorded movie
dcr,Digital Court Recorder video
mep,Movavi Video Editor project
s11,Sealed MPEG-1 video
dcr,Liberty video recording
