ria,Alpharel Group IV Raster Graphics file
ric,Lego NXT image file
rid,GerbMagic raster image file
rif,Resource Interchange File Format
rif,Corel Painter raster image file
riff,Resource Interchange File Format bitmap image
rimg,Radium Renderer HDR picture image file
rip,Rocky Interlace Picture format
rix,ColoRIX bitmap image
rl2,Nokia ST (Star Torrent) mobile phones series picture image
rl4,Device-independent bitmap file
rl8,SageThumbs image
rla,Alias/Wavefront bitmap image file
rlb,Alias/Wavefront bitmap image file
rle,Raster image
rlh,Picture image file
rm0,RAMbrandt picture image
rm1,RAMbrandt picture image
rm2,RAMbrandt picture image
rm3,RAMbrandt picture image
rm4,RAMbrandt picture image
rnl,GTX runlength encoded bitmap graphics
rp,Rainbow Painter image file
rpbm,Portable Bitmap image file
rpf,Alias/Wavefront bitmap image file
rpgm,Portable greyscale image file
rpnm,Portable Image image file
rppm,Portable Image image format
rri,RealWorld Icon Editor picture image file
rs,Sun raster bitmap image file
rsb,Red Storm bitmap file
rsr,Poser model preview file
rtl,HP Raster Transfer Language bitmap image file
rvg,Kodak RVG x-ray image
rys,Mamut picture image
sai2,Paint Tool SAI version 2 drawing
sbig,Santa Barbara Instruments astronomical image file
sc?,ColoRix bitmap image
scan,Scan file
scg,ColoRIX bitmap image file
scp,ColoRIX bitmap image
scr,Sun Raster bitmap image file
scr,Microsoft Word for DOS bitmap file
sct,Scitex CT bitmap image file
scu,ColoRIX bitmap image
scx,ColoRIX bitmap image file
sdpx,Kodak Cineon image format
sdt,Becker & Hickl SPCImage image file
sdw,MrSID header file (ESRI picture file)
sdwx,MrSID Level 8 image file
sec,Pro/ENGINEER sketch file
sedprj,Ashampoo Slideshow Studio project file
sep,Tagged Image File Format (TIFF) bitmap image
seq,ATARI STAD image file
sev,SevenUp picture file
sfc,Motic Images Plus image file
sfw,Seattle Film Works graphics
sg1,Standford graphics file
sge,Semi-Graphic logos Editor picture image
sgx,SymbOS SGX bitmap file
sh3,Apple II bitmap image
sham,Sliced HAM picture image
shc,SAMAR Hi-res Interlace picture image
shp,Blazing Paddles shape table
shp,Movie Maker shape
shr,Apple II bitmap image
sid,LizardTech MrSID image file format
sim,Aurora image format
sir,Bitmap file
six,DEC LN03+ Sixel bitmap image file
sixel,DEC LN03+ Sixel bitmap image file
skv,XLANG schedule drawing file
sld,3i SlideBook image file
snag,SnagIt captured image
snap,LittleSnaper snap file
snx,Second Nature screensaver image
spa,MikuMikuDance picture bitmap file
spc,Graphics Magician Picture Painter bitmap image
spc,Atari compressed spectrum bitmap file
spe,Princeton Instruments CCD camera bitmap image file
spf,Still Picture Interchange File Format
spi,Scanned Graphics file format
spiff,SPIFF Still Picture Interchange File Format
spj,Image Composite Editor panorama project
spot,SPOT satellite image file
spr,Acorn RISC OS bitmap image sprite file
spr,Apple II sprite
sprite,Acorn RISC OS sprite file
sps,Atari Spectrum 512 smooshed bitmap image
spu,Atari Spectrum bitmap image file
sr,Sun raster bitmap graphics
sr7,Graph Saurus picture image
srf,Sun raster file
srs,Sun raster file
ssi,SriSun graphic image
st9,SBIG astronomical image
stc,DeltaVision image file
ste,Samsung IPOLIS picture file
stn=,Genuine Fractals STING file format
sumo,Sumo Paint image file
sun,Sun raster bitmap image file
suniff,Sun TAAC bitmap image file
sva,Sharp Manga Browser comic
svs,Aperio SVS TIFF file
swgr,ClarisWorks version 3/4 Drawing file
syn,Synthetic Universe image file
synu,Synthetic Universe image format
t1,Male MRI image format
t2b,CyBook thumbnail image file
taac,Sun TAAC bitmap image file
tc2,TurboCAD 2D drawing
tdim,Digital F/X image format
tdp,Sherif DrawPlus thumbnail file
tdt,AVHCD thumbnail image file
tex,Corel PaintShop Photo Pro texture file
texture,Texture file
tg4,TG4 image format
tga,Truevision TarGA bitmap image
thm,Thumbnail bitmap image file
thm,Video Thumbnail file
thmb,Thumbnail file
thn,Graphics Workshop for Windows thumbnail
thnl,Graphics Workshop for Windows thumbnail file
thumb,JAlbum thumbnail file
